Temperatura,Umidade,DataInsert,IdInsert 
24.60, 52.00, 2023-05-01T14:15:20Z, 1
23.20, 55.00, 2023-05-01T14:30:20Z, 2
23.20, 54.00, 2023-05-01T14:45:21Z, 3
23.20, 54.00, 2023-05-01T15:00:21Z, 4
23.40, 54.00, 2023-05-01T15:15:22Z, 5
23.50, 54.00, 2023-05-01T15:30:23Z, 6
23.50, 52.00, 2023-05-01T15:45:23Z, 7
23.60, 52.00, 2023-05-01T16:00:24Z, 8
23.80, 50.00, 2023-05-01T16:15:24Z, 9
23.90, 48.00, 2023-05-01T16:30:25Z, 10
24.00, 47.00, 2023-05-01T16:45:25Z, 11
24.10, 46.00, 2023-05-01T17:00:26Z, 12
24.30, 47.00, 2023-05-01T17:15:26Z, 13
24.50, 46.00, 2023-05-01T17:30:27Z, 14
24.50, 46.00, 2023-05-01T17:45:27Z, 15
24.60, 44.00, 2023-05-01T18:00:28Z, 16
24.60, 44.00, 2023-05-01T18:15:28Z, 17
24.70, 43.00, 2023-05-01T18:30:29Z, 18
24.80, 41.00, 2023-05-01T18:45:29Z, 19
24.90, 42.00, 2023-05-01T19:00:30Z, 20
24.90, 42.00, 2023-05-01T19:15:31Z, 21
25.20, 42.00, 2023-05-01T19:30:31Z, 22
25.20, 42.00, 2023-05-01T19:45:32Z, 23
25.50, 42.00, 2023-05-01T20:00:32Z, 24
25.60, 43.00, 2023-05-01T20:15:33Z, 25
25.80, 44.00, 2023-05-01T20:30:34Z, 26
25.60, 44.00, 2023-05-01T20:45:34Z, 27
25.70, 44.00, 2023-05-01T21:00:35Z, 28
25.50, 44.00, 2023-05-01T21:15:36Z, 29
25.20, 46.00, 2023-05-01T21:30:37Z, 30
25.30, 45.00, 2023-05-01T21:45:38Z, 31
25.00, 45.00, 2023-05-01T22:00:42Z, 32
25.30, 45.00, 2023-05-01T22:15:43Z, 33
24.80, 45.00, 2023-05-01T22:30:43Z, 34
24.80, 46.00, 2023-05-01T22:45:44Z, 35
24.60, 47.00, 2023-05-01T23:00:45Z, 36
24.40, 48.00, 2023-05-01T23:15:46Z, 37
23.80, 48.00, 2023-05-01T23:31:24Z, 38
23.80, 48.00, 2023-05-01T23:46:25Z, 39
23.60, 48.00, 2023-05-02T00:01:26Z, 40
23.40, 48.00, 2023-05-02T00:16:48Z, 41
23.40, 48.00, 2023-05-02T00:31:52Z, 42
23.20, 50.00, 2023-05-02T00:47:03Z, 43
23.20, 50.00, 2023-05-02T01:02:04Z, 44
23.40, 49.00, 2023-05-02T01:17:04Z, 45
22.60, 50.00, 2023-05-02T01:32:05Z, 46
22.40, 52.00, 2023-05-02T01:47:06Z, 47
21.90, 53.00, 2023-05-02T02:02:09Z, 48
22.80, 50.00, 2023-05-02T02:17:10Z, 49
21.90, 53.00, 2023-05-02T02:32:10Z, 50
21.70, 53.00, 2023-05-02T02:47:11Z, 51
22.00, 53.00, 2023-05-02T03:02:11Z, 52
21.60, 54.00, 2023-05-02T03:17:12Z, 53
21.50, 54.00, 2023-05-02T03:32:13Z, 54
21.00, 56.00, 2023-05-02T03:47:13Z, 55
21.30, 56.00, 2023-05-02T04:02:14Z, 56
21.20, 55.00, 2023-05-02T04:17:14Z, 57
20.90, 55.00, 2023-05-02T04:32:15Z, 58
20.70, 55.00, 2023-05-02T04:47:15Z, 59
21.00, 55.00, 2023-05-02T05:02:16Z, 60
20.80, 55.00, 2023-05-02T05:17:16Z, 61
20.20, 56.00, 2023-05-02T05:32:17Z, 62
20.70, 55.00, 2023-05-02T05:47:17Z, 63
20.70, 55.00, 2023-05-02T06:02:18Z, 64
20.20, 56.00, 2023-05-02T06:17:18Z, 65
20.80, 55.00, 2023-05-02T06:32:19Z, 66
20.40, 56.00, 2023-05-02T06:47:20Z, 67
20.50, 56.00, 2023-05-02T07:02:20Z, 68
20.30, 57.00, 2023-05-02T07:17:21Z, 69
20.20, 57.00, 2023-05-02T07:32:21Z, 70
20.10, 57.00, 2023-05-02T07:47:22Z, 71
20.20, 57.00, 2023-05-02T08:02:22Z, 72
20.20, 57.00, 2023-05-02T08:17:23Z, 73
20.30, 57.00, 2023-05-02T08:32:23Z, 74
20.30, 56.00, 2023-05-02T08:47:24Z, 75
20.40, 56.00, 2023-05-02T09:02:24Z, 76
20.00, 57.00, 2023-05-02T09:17:25Z, 77
20.10, 56.00, 2023-05-02T09:32:26Z, 78
19.80, 57.00, 2023-05-02T09:47:26Z, 79
19.90, 57.00, 2023-05-02T10:02:27Z, 80
19.80, 58.00, 2023-05-02T10:17:27Z, 81
20.10, 57.00, 2023-05-02T10:32:28Z, 82
20.30, 57.00, 2023-05-02T10:47:28Z, 83
20.70, 57.00, 2023-05-02T11:02:29Z, 84
21.00, 56.00, 2023-05-02T11:17:29Z, 85
20.90, 57.00, 2023-05-02T11:32:30Z, 86
21.00, 57.00, 2023-05-02T11:47:30Z, 87
21.20, 57.00, 2023-05-02T12:02:31Z, 88
21.30, 57.00, 2023-05-02T12:17:31Z, 89
21.60, 57.00, 2023-05-02T12:32:32Z, 90
21.70, 58.00, 2023-05-02T12:47:33Z, 91
21.90, 58.00, 2023-05-02T13:02:33Z, 92
22.20, 58.00, 2023-05-02T13:17:34Z, 93
22.30, 57.00, 2023-05-02T13:32:34Z, 94
22.40, 56.00, 2023-05-02T13:47:35Z, 95
22.70, 51.00, 2023-05-02T14:02:35Z, 96
23.10, 51.00, 2023-05-02T14:17:36Z, 97
23.40, 45.00, 2023-05-02T14:32:36Z, 98
23.20, 46.00, 2023-05-02T14:47:37Z, 99
23.40, 41.00, 2023-05-02T15:02:37Z, 100
23.60, 41.00, 2023-05-02T15:17:38Z, 101
19.60, 57.00, 2023-05-04T09:58:00Z, 102
20.20, 57.00, 2023-05-04T10:13:00Z, 103
20.40, 57.00, 2023-05-04T10:28:01Z, 104
20.70, 57.00, 2023-05-04T10:43:01Z, 105
21.20, 57.00, 2023-05-04T10:58:02Z, 106
21.50, 55.00, 2023-05-04T11:13:02Z, 107
21.70, 56.00, 2023-05-04T11:28:03Z, 108
23.80, 48.00, 2023-05-05T02:06:29Z, 109
24.20, 48.00, 2023-05-05T02:21:30Z, 110
24.20, 48.00, 2023-05-05T02:36:30Z, 111
24.10, 47.00, 2023-05-05T02:51:31Z, 112
23.80, 49.00, 2023-05-05T03:06:32Z, 113
23.90, 48.00, 2023-05-05T03:21:32Z, 114
23.70, 48.00, 2023-05-05T03:36:33Z, 115
23.60, 49.00, 2023-05-05T03:51:33Z, 116
23.80, 48.00, 2023-05-05T04:06:34Z, 117
23.70, 48.00, 2023-05-05T04:21:34Z, 118
23.80, 48.00, 2023-05-05T04:36:35Z, 119
23.60, 49.00, 2023-05-05T04:51:35Z, 120
23.70, 48.00, 2023-05-05T05:06:36Z, 121
23.60, 48.00, 2023-05-05T05:21:36Z, 122
23.40, 49.00, 2023-05-05T05:36:37Z, 123
23.30, 49.00, 2023-05-05T05:51:37Z, 124
23.20, 50.00, 2023-05-05T06:06:38Z, 125
23.00, 50.00, 2023-05-05T06:21:39Z, 126
22.90, 51.00, 2023-05-05T06:36:39Z, 127
22.90, 50.00, 2023-05-05T06:51:40Z, 128
22.50, 51.00, 2023-05-05T07:06:40Z, 129
22.50, 52.00, 2023-05-05T07:21:41Z, 130
22.60, 51.00, 2023-05-05T07:36:41Z, 131
22.70, 51.00, 2023-05-05T07:51:42Z, 132
22.60, 52.00, 2023-05-05T08:06:42Z, 133
22.50, 53.00, 2023-05-05T08:21:43Z, 134
22.50, 53.00, 2023-05-05T08:36:43Z, 135
22.40, 55.00, 2023-05-05T08:51:44Z, 136
22.30, 55.00, 2023-05-05T09:06:45Z, 137
22.20, 55.00, 2023-05-05T09:21:45Z, 138
22.20, 56.00, 2023-05-05T09:36:46Z, 139
22.00, 56.00, 2023-05-05T09:51:46Z, 140
22.00, 56.00, 2023-05-05T10:06:47Z, 141
22.30, 56.00, 2023-05-05T10:21:47Z, 142
22.20, 57.00, 2023-05-05T10:36:48Z, 143
22.40, 57.00, 2023-05-05T10:51:48Z, 144
22.70, 55.00, 2023-05-05T11:06:49Z, 145
22.90, 55.00, 2023-05-05T11:21:49Z, 146
23.10, 55.00, 2023-05-05T11:36:50Z, 147
23.20, 54.00, 2023-05-05T11:51:51Z, 148
23.40, 52.00, 2023-05-05T12:06:51Z, 149
23.70, 51.00, 2023-05-05T12:21:52Z, 150
24.00, 50.00, 2023-05-05T12:36:52Z, 151
24.10, 48.00, 2023-05-05T12:51:53Z, 152
24.30, 48.00, 2023-05-05T13:06:53Z, 153
24.50, 47.00, 2023-05-05T13:21:54Z, 154
24.70, 47.00, 2023-05-05T13:36:54Z, 155
24.80, 47.00, 2023-05-05T13:51:55Z, 156
26.30, 41.00, 2023-05-05T21:14:50Z, 157
